section,key,value
metric,overall_row_rmse_percent,0.3698468239516827
metric,overall_row_mae_percent,0.2219630421024985
metric,balanced_dataset_rmse_percent,0.3450939190073868
metric,balanced_dataset_mae_percent,0.22795428137970794
metric,n_test_rows,1363
metric,n_test_groups,29
dataset_metric::CALCE,row_rmse_percent,0.46819065316522
dataset_metric::CALCE,row_mae_percent,0.21589861012489908
dataset_metric::CALCE,n_rows,14
dataset_metric::CALCE,n_groups,2
dataset_metric::LG,row_rmse_percent,0.031150851257980235
dataset_metric::LG,row_mae_percent,0.024516792349480978
dataset_metric::LG,n_rows,713
dataset_metric::LG,n_groups,23
dataset_metric::NASA,row_rmse_percent,0.5359402525989602
dataset_metric::NASA,row_mae_percent,0.4434474416647437
dataset_metric::NASA,n_rows,636
dataset_metric::NASA,n_groups,4
